::1	-	-	[05/Mar/2023:06:18:24	+0000]	GET / HTTP/1.1	302	-	-	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:33	+0000]	GET /dashboard/ HTTP/1.1	200	5187	-	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:33	+0000]	GET /dashboard/stylesheets/normalize.css HTTP/1.1	200	6876	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:33	+0000]	GET /dashboard/stylesheets/all.css HTTP/1.1	200	406998	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:33	+0000]	GET /dashboard/javascripts/modernizr.js HTTP/1.1	200	51365	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:34	+0000]	GET /dashboard/javascripts/all.js HTTP/1.1	200	188385	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:34	+0000]	GET /dashboard/images/xampp-logo.svg HTTP/1.1	200	5427	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:34	+0000]	GET /dashboard/images/fastly-logo.png HTTP/1.1	200	1770	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:34	+0000]	GET /dashboard/images/social-icons.png HTTP/1.1	200	3361	http://localhost/dashboard/stylesheets/all.css	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:18:35	+0000]	GET /dashboard/images/favicon.png HTTP/1.1	200	2508	http://localhost/dashboard/	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
::1	-	-	[05/Mar/2023:06:19:27	+0000]	GET /index HTTP/1.1	404	296	-	"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
